Jahr;Monat;Hamburg Plug-in Hybrid;Hamburg Elektro;Hamburg gesamt;Deutschland Plug-in Hybrid;Deutschland Elektro;Deutschland gesamt;Hamburg Plug-in Hybrid kumuliert;Hamburg Elektro kumuliert;Hamburg gesamt kumuliert;Deutschland Plug-in Hybrid kumuliert;Deutschland Elektro kumuliert;Deutschland gesamt kumuliert
2023;1;223;447;670;8853;18136;26989;223;447;670;8853;18136;26989
2023;2;299;710;1009;11916;32475;44391;522;1157;1679;20769;50611;71380
2023;3;369;1096;1465;16776;44125;60901;891;2253;3144;37545;94736;132281
2023;4;205;555;760;11787;29740;41527;1096;2808;3904;49332;124476;173808
2023;5;302;1107;1409;13803;42780;56583;1398;3915;5313;63135;167256;230391
2023;6;447;1692;2139;15930;52988;68918;1845;5607;7452;79065;220244;299309
2023;7;355;1437;1792;14345;48682;63027;2200;7044;9244;93410;268926;362336
2023;8;354;2641;2995;14552;86649;101201;2554;9685;12239;107962;355575;463537
2023;9;269;785;1054;15383;31714;47097;2823;10470;13293;123345;387289;510634
2023;10;381;762;1143;16361;37334;53695;3204;11232;14436;139706;424623;564329
2023;11;471;904;1375;18124;44942;63066;3675;12136;15811;157830;469565;627395
2023;12;681;1050;1731;17894;54654;72548;4356;13186;17542;175724;524219;699943
2024;1;354;590;944;14394;22474;36868;4710;13776;18486;190118;546693;736811
2024;2;352;645;997;14575;27479;42054;5062;14421;19483;204693;574172;778865
2024;3;450;627;1077;16016;31384;47400;5512;15048;20560;220709;605556;826265
2024;4;359;641;1000;15135;29668;44803;5871;15689;21560;235844;635224;871068
2024;5;397;1147;1544;14038;29708;43746;6268;16836;23104;249882;664932;914814
2024;6;416;772;1188;15391;43412;58803;6684;17608;24292;265273;708344;973617
2024;7;499;807;1306;14811;30762;45573;7183;18415;25598;280084;739106;1019190
2024;8;393;862;1255;13565;27024;40589;7576;19277;26853;293649;766130;1059779
2024;9;397;983;1380;14936;34479;49415;7973;20260;28233;308585;800609;1109194
2024;10;550;921;1471;19337;35491;54828;8523;21181;29704;327922;836100;1164022
2024;11;677;1125;1802;20604;35167;55771;9200;22306;31506;348526;871267;1219793
2024;12;579;957;1536;19103;33561;52664;9779;23263;33042;367629;904828;1272457
2025;1;587;926;1513;17712;34498;52210;10366;24189;34555;385341;939326;1324667
2025;2;574;778;1352;19534;35949;55483;10940;24967;35907;404875;975275;1380150
2025;3;673;899;1572;26553;42521;69074;11613;25866;37479;431428;1017796;1449224
2025;4;1058;958;2016;24317;45535;69852;12671;26824;39495;455745;1063331;1519076
2025;5;1649;842;2491;25181;43060;68241;14320;27666;41986;480926;1106391;1587317
2025;6;943;1525;2468;25608;47163;72771;15263;29191;44454;506534;1153554;1660088
2025;7;872;1349;2221;27197;48614;75811;16135;30540;46675;533731;1202168;1735899
2025;8;639;828;1467;23973;39367;63340;16774;31368;48142;557704;1241535;1799239
2025;09;1014;1122;2136;27685;45495;73180;17788;32490;50278;585389;1287030;1872419
